longtitude,latitude,nazev,vykon,datum,datum2
17.4076345312485,49.5658487592723,"FVE - Doloplazy 272 783 56 Doloplazy, Doloplazy 272, okres Olomouc, kraj Olomoucký",0.005,2002-05-08,2019-11-30
16.6634587548643,49.759945066018,"Fotovoltaická elektrárna Komenského 571 01 Moravská Třebová, Komenského 285/20, okres Svitavy, kraj Pardubický",0.021,2002-06-20,2019-11-30
16.6640810789426,49.7716105439378,"Fotovoltaická elektrárna Sušice 571 01 Moravská Třebová, Moravská Třebová 75, okres Svitavy, kraj Pardubický",0.026,2002-06-20,2019-11-30
15.8494370388997,49.2068933155331,"FVE Třebíč - Řípov, Fibichova 958 674 01 Třebíč, Fibichova 958/4, okres Třebíč, kraj Vysočina",0.02,2002-09-01,2019-11-30
15.2352729853502,50.6751455273679,"FTV - Havlíčková - Alšovice 468 21 Pěnčín, Pěnčín 211, okres Jablonec nad Nisou, kraj Liberecký",0.005,2003-01-07,2019-11-30
15.6904604460045,49.5156936933096,"FVE Chalupník I. 582 52 Věžnice, Věžnice 26, okres Havlíčkův Brod, kraj Vysočina",0.005,2003-03-06,2019-11-30
15.5853788770093,49.673288452804,"FVE - HORNÍ KRUPÁ 580 01 Havlíčkův Brod, Horní Krupá 5, okres Havlíčkův Brod, kraj Vysočina",0.005,2003-06-01,2019-11-30
15.5853788770093,49.673288452804,"FVE - HORNÍ KRUPÁ 2 580 01 Horní Krupá, Horní Krupá 5, okres Havlíčkův Brod, kraj Vysočina",0.003,2003-06-01,2019-11-30
18.2225839363152,49.824411949255,"FVE Fričova 709 00 Ostrava, Fričova 236/1, okres Ostrava-město, kraj Moravskoslezský",0.029,2003-06-23,2019-11-30
13.6470811364354,50.5572109413604,"FVE CELIO 1 436 01 Litvínov, Litvínov, okres Most, kraj Ústecký",0.03,2003-12-05,2019-11-30
13.6456510312759,50.5573128214028,"FVE CELIO 2 436 01 Litvínov, Litvínov, okres Most, kraj Ústecký",0.03,2003-12-05,2019-11-30
18.1300646434586,49.481085964321,"FOTOVOLTAICKÝ SYSTÉM 2001 756 61 Rožnov pod Radhoštěm, Zemědělská 1077, okres Vsetín, kraj Zlínský",0.002,2004-05-15,2019-11-30
15.0195839510212,49.1429001183914,"FVE Jáchymova 377 01 Jindřichův Hradec, Jáchymova 865, okres Jindřichův Hradec, kraj Jihočeský",0.03,2004-02-01,2019-11-30
18.264157783767,49.8180002805293,"FVE Pohraniční 703 00 Ostrava, Pohraniční 1435/86, okres Ostrava-město, kraj Moravskoslezský",0.023,2004-02-01,2019-11-30
14.4503103168628,50.115198253383,"Areál Troja 18000 Praha 8 - Libeň, V Holešovičkách 747/2, kraj Hlavní město Praha",0.019,2004-05-01,2019-11-30
18.1386836903145,49.4635289259216,"Solartec s. r. o. 75661 Rožnov pod Radhoštěm, Televizní 2618, okres Vsetín, kraj Zlínský",0.001,2004-06-04,2019-11-30
13.3496909797507,49.7238984594571,"ZČU v Plzni - Fotovoltaický systém 20 kWp 301 00 Plzeň, Univerzitní 2795/26, okres Plzeň-město, kraj Plzeňský",0.02,2004-07-01,2019-11-30
17.6993914745311,49.157483647409,"LIBOR KREJČIŘÍK 763 45 Březůvky, Březůvky 74, okres Zlín, kraj Zlínský",0.006,2004-07-23,2019-11-30
14.4767665524275,49.2962866676693,"FVE Mlýn Bechyně 391 65 Bechyně, Parkány 552, okres Tábor, kraj Jihočeský",0.048,2004-11-15,2019-11-30
16.4221827464837,49.975006838327,"FVE u letiště 562 03 Ústí nad Orlicí, Ústí nad Orlicí, okres Ústí nad Orlicí, kraj Pardubický",0.8,2005-01-17,2019-11-30
16.3912949211693,49.9812123950409,"FVE - Aquapark 562 01 Ústí nad Orlicí, V Lukách, okres Ústí nad Orlicí, kraj Pardubický",0.016,2005-01-17,2019-11-30
16.4025843004868,49.9757334500782,"FVE - Krytý bazén 562 01 Ústí nad Orlicí, Polská 1360, okres Ústí nad Orlicí, kraj Pardubický",0.03,2005-01-17,2019-11-30
